Широта;Долгота;Описание;Подпись;"Номер метки"
55.6922591;37.5436969;"Школа № 1533 ЛИТ";"Школа № 1533 ЛИТ";1
55.6980699;37.5563902;"Лицей Вторая школа";"Лицей Вторая школа";2
55.5447656;37.5328013;"Школа № 2007 ФМШ";"Школа № 2007 ФМШ";3
55.6580508;37.4927123;"Московская школа на Юго-Западе № 1543";"Московская школа на Юго-Западе № 1543";4
55.803646;37.635107;"Школа № 1518";"Школа № 1518";5
55.778693;37.5460969;"Пансион воспитанниц Министерства обороны Российской Федерации";"Пансион воспитанниц Министерства обороны Российской Федерации";6
55.7181498;37.4644123;"Школа Интеллектуал";"Школа Интеллектуал";7
55.7288727;37.6296582;"Экономический лицей РЭУ им. Г.В.Плеханова";"Экономический лицей РЭУ им. Г.В.Плеханова";8
55.7257478;37.5648873;"Школа № 1535";"Школа № 1535";9
55.7596888;37.6147038;"Школа № 179";"Школа № 179";10
55.6498363;37.6643357;"Предуниверситарий НИЯУ МИФИ, университетские лицеи № 1511 и № 1523";"Предуниверситарий НИЯУ МИФИ, университетские лицеи № 1511 и № 1523";11
55.6766444;37.6812646;"Лицей № 1523 Предуниверситария НИЯУ МИФИ";"Лицей № 1523 Предуниверситария НИЯУ МИФИ";12
55.7387456;37.5939062;"Предуниверситарий МГЛУ им. М.Тореза (Лингвистический лицей № 1555)";"Предуниверситарий МГЛУ им. М.Тореза (Лингвистический лицей № 1555)";13
55.6623784;37.5589801;"Общеобразовательное частное учреждение «Газпром школа»";"Общеобразовательное частное учреждение «Газпром школа»";14
55.5672;37.581394;"Школа № 1356";"Школа № 1356";15
55.7414147;37.5232673;"Школа № 67";"Школа № 67";16
55.7144424;37.4560214;"Ломоносовская школа";"Ломоносовская школа";17
55.7166569;37.4611271;"Школа № 1589";"Школа № 1589";18
55.7614733;37.7868985;"Лицей гуманитарных технологий МПГУ";"Лицей гуманитарных технологий МПГУ";19
55.8335719;37.643528;"Университетская школа МГПУ";"Университетская школа МГПУ";20
55.641656;37.612973;"Бауманская инженерная школа № 1580";"Бауманская инженерная школа № 1580";21
55.7827508;37.6741332;"Школа № 315";"Школа № 315";22
55.7485864;37.6049954;"Пятьдесят седьмая школа";"Пятьдесят седьмая школа";23
55.648578;37.3412411;"Школа № 1376";"Школа № 1376";24
55.6543864;37.5950466;"ОАНО школа «Ника»";"ОАНО школа «Ника»";25
55.8776607;37.6726334;"Московское суворовское военное училище Министерства обороны РФ";"Московское суворовское военное училище Министерства обороны РФ";26
55.8245863;37.6248542;"Школа № 1415 Останкино";"Школа № 1415 Останкино";27
55.8047985;37.532086;"Школа № 1575";"Школа № 1575";28
55.6950039;37.5489202;"Школа № 2086";"Школа № 2086";29
55.6689646;37.4649256;"Школа № 1329";"Школа № 1329";30
55.617807;37.6012868;"Школа № 1582";"Школа № 1582";31
55.7728852;37.482163;"Школа № 1522 имени В.И. Чуркина";"Школа № 1522 имени В.И. Чуркина";32
55.7144082;37.6256481;"Школа № 1257";"Школа № 1257";33
55.6966844;37.7588787;"Московское президентское кадетское училище имени М.А. Шолохова войск Национальной Гвардии РФ";"Московское президентское кадетское училище имени М.А. Шолохова войск Национальной Гвардии РФ";34
55.7343804;37.5920552;"Школа № 1253";"Школа № 1253";35
55.7605894;37.604849;"Школа № 1520 имени Капцовых";"Школа № 1520 имени Капцовых";36
55.6729038;37.5044474;"Школа № 1541";"Школа № 1541";37
55.7528161;37.6627083;"Инженерная школа № 1581";"Инженерная школа № 1581";38
55.6017856;37.7170282;"Школа № 548 Царицыно";"Школа № 548 Царицыно";39
55.6232748;37.7023171;"Художественная школа №548 «Царицыно»";"Художественная школа №548 «Царицыно»";40
55.7603711;37.5887138;"Школа № 1239";"Школа № 1239";41
55.6714552;37.4706676;"Школа № 1317";"Школа № 1317";42
55.6531321;37.4835801;"Школа на проспекте Вернадского";"Школа на проспекте Вернадского";43
55.604103;37.6215083;"Школа № 1526 на Покровской";"Школа № 1526 на Покровской";44
55.8213556;37.5043219;"Школа № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских";"Школа № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских";45
55.7353498;37.8526986;"Гимназия № 1925";"Гимназия № 1925";46
55.5343986;37.4951751;"Школа № 1786";"Школа № 1786";47
55.8008618;37.5351789;"Школа № 152";"Школа № 152";48
55.7320189;37.6321878;"Школа № 1259";"Школа № 1259";49
55.7451104;37.4288597;"Школа № 1584";"Школа № 1584";50
55.7209994;37.6490483;"Школа № 1553 имени В.И. Вернадского";"Школа № 1553 имени В.И. Вернадского";51
55.8167688;37.8317562;"Школа № 1516";"Школа № 1516";52
55.7576259;37.4126799;"Школа № 1440";"Школа № 1440";53
55.7423517;37.8590682;"Школа Новокосино";"Школа Новокосино";54
55.7907304;37.7966117;"Школа № 444";"Школа № 444";55
55.8423158;37.3496627;"Школа № 1944";"Школа № 1944";56
55.7437345;37.6647347;"Школа № 1270 Вектор";"Школа № 1270 Вектор";57
55.7631258;37.7049176;"Московский музыкально-педагогический колледж";"Московский музыкально-педагогический колледж";58
55.6750753;37.5790242;"Школа № 1280";"Школа № 1280";59
55.8297341;37.4852734;"Школа № 1250";"Школа № 1250";60
55.7844003;37.6697659;"Школа № 1525";"Школа № 1525";61
55.8009597;37.5181245;"Школа № 1249";"Школа № 1249";62
55.8220521;37.8178808;"Школа № 368 Лосиный остров";"Школа № 368 Лосиный остров";63
55.7448824;37.8747365;"Колледж музыкально-театрального искусства (КМТИ) имени Г.П. Вишневской";"Колледж музыкально-театрального искусства (КМТИ) имени Г.П. Вишневской";64
55.565862;37.582366;"Школа № 2006";"Школа № 2006";65
55.8368536;37.5353998;"Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой";"Школа № 185 имени Героя Советского Союза, Героя Социалистического Труда В.С. Гризодубовой";66
55.6980677;37.7573877;"Кадетский корпус Следственного комитета РФ";"Кадетский корпус Следственного комитета РФ";67
55.7185452;37.8303768;"Школа № 1512";"Школа № 1512";68
55.998;37.231566;"Школа № 1557 имени Петра Леонидовича Капицы";"Школа № 1557 имени Петра Леонидовича Капицы";69
55.6404769;37.4756082;"Школа № 109";"Школа № 109";70
55.7402787;37.5451299;"Школа № 710 им. Народного учителя СССР В.К. Жудова";"Школа № 710 им. Народного учителя СССР В.К. Жудова";71
55.760282;37.830204;"Школа № 1502 при МЭИ";"Школа № 1502 при МЭИ";72
55.7415789;37.4083296;"Кадетская школа-интернат № 11 «Московский дипломатический кадетский корпус»";"Кадетская школа-интернат № 11 «Московский дипломатический кадетский корпус»";73
55.7824254;37.5598367;"Школа № 1550";"Школа № 1550";74
55.836103;37.3594211;"Школа № 1544";"Школа № 1544";75
55.7507215;37.6050581;"Московская средняя специальная музыкальная школа-колледж МССМШ имени Гнесиных";"Московская средняя специальная музыкальная школа-колледж МССМШ имени Гнесиных";76
55.827661;37.519225;"Центр образования Школа здоровья № 1679";"Центр образования Школа здоровья № 1679";77
55.7067254;37.5748108;"Школа № 192";"Школа № 192";78
55.7676272;37.6384124;"Школа № 1284";"Школа № 1284";79
55.6618386;37.7770463;"Школа № 1547";"Школа № 1547";80
55.7441042;37.621423;"Школа № 1799";"Школа № 1799";81
55.6850644;37.5743207;"Академическая школа № 1534";"Академическая школа № 1534";82
55.7076844;37.771267;"Школа № 1208 имени Героя Советского Союза М.С. Шумилова";"Школа № 1208 имени Героя Советского Союза М.С. Шумилова";83
55.753481;37.5901746;"Школа № 1234";"Школа № 1234";84
55.7512542;37.5809153;"Гимназия № 1513 (немецкое отделение школы №1234)";"Гимназия № 1513 (немецкое отделение школы №1234)";85
55.7436236;37.6463979;"Школа № 2104 на Таганке";"Школа № 2104 на Таганке";86
55.7594103;37.5557041;"Школа № 2030";"Школа № 2030";87
55.8100094;37.4965098;"Школа № 1252 имени Сервантеса";"Школа № 1252 имени Сервантеса";88
55.906587;37.5529985;"Школа № 1573";"Школа № 1573";89
55.6692134;37.5340915;"Школа № 117";"Школа № 117";90
55.7938063;37.7956107;"Измайловская школа № 1508";"Измайловская школа № 1508";91
55.8032687;37.644938;"Гимназия РУТ (МИИТ)";"Гимназия РУТ (МИИТ)";92
55.7664007;37.5846404;"Школа № 1950";"Школа № 1950";93
55.7377101;37.6518916;"Школа № 498";"Школа № 498";94
55.8065249;37.4193917;"Школа № 1302";"Школа № 1302";95
55.8944868;37.3976036;"Школа № 2005";"Школа № 2005";96
55.7622515;37.7866862;"Московская международная школа";"Московская международная школа";97
55.8772893;37.5627935;"Школа № 1296";"Школа № 1296";98
55.708057;37.6639151;"Школа № 1272";"Школа № 1272";99
55.79561;37.728634;"Школа № 1505 Преображенская";"Школа № 1505 Преображенская";100
55.8074257;37.8103422;"Школа № 1563";"Школа № 1563";101
55.7028433;37.5552214;"Воробьевы горы";"Воробьевы горы";102
55.9000474;37.3823695;"Школа № 1298 Профиль Куркино";"Школа № 1298 Профиль Куркино";103
55.8744856;37.6429499;"Школа № 1568 имени Пабло Неруды";"Школа № 1568 имени Пабло Неруды";104
55.8742886;37.6416248;"Школа № 1568 имени Пабло Неруды с углубленным изучением испанского и английского языков (СП №2)";"Школа № 1568 имени Пабло Неруды с углубленным изучением испанского и английского языков (СП №2)";105
55.6466156;37.399957;"Школа № 1542";"Школа № 1542";106
55.6824705;37.6688873;"Школа № 1527";"Школа № 1527";107
55.80364;37.6330973;"Школа № 1531 имени С. К. Годовикова";"Школа № 1531 имени С. К. Годовикова";108
55.630868;37.507295;"Школа № 1507";"Школа № 1507";109
55.7622419;37.8379885;"Школа № 1504";"Школа № 1504";110
55.8742342;37.7191395;"Многопрофильная школа № 1537 Информационные технологии";"Многопрофильная школа № 1537 Информационные технологии";111
55.8002819;37.4570649;"Школа № 1210";"Школа № 1210";112
55.6452596;37.3455195;"Школа № 1238";"Школа № 1238";113
55.691953;37.593285;"Школа № 625";"Школа № 625";114
55.6409883;37.3510787;"Школа № 1018";"Школа № 1018";115
55.7367257;37.6811591;"Открытая (сменная) школа № 88";"Открытая (сменная) школа № 88";116
55.7837429;37.6068488;"ГБОУ СОШ № 1275 (сп школы 1501)";"ГБОУ СОШ № 1275 (сп школы 1501)";117
55.7877562;37.5957662;"Школа № 1501";"Школа № 1501";118
55.7245114;37.6350524;"Школа № 627 имени Генерала Д.Д. Лелюшенко";"Школа № 627 имени Генерала Д.Д. Лелюшенко";119
55.7260141;37.6277035;"Вальдорфская школа имени А.А. Пинского, СП СОШ № 627";"Вальдорфская школа имени А.А. Пинского, СП СОШ № 627";120
55.8385525;37.5271283;"Школа № 1223";"Школа № 1223";121
55.7797415;37.5969288;"Школа № 1574";"Школа № 1574";122
55.6841059;37.4936318;"Центр образования и спорта «Москва-98»";"Центр образования и спорта «Москва-98»";123
55.6979703;37.5090746;"Школа № 1306 - Школа молодых политиков";"Школа № 1306 - Школа молодых политиков";124
55.7429257;37.4105427;"Школа № 1293";"Школа № 1293";125
55.8179936;37.6628574;"Школа № 1503";"Школа № 1503";126
55.833851;37.4487093;"Школа № 1285";"Школа № 1285";127
55.9040734;37.3828808;"Школа № 1387";"Школа № 1387";128
